Date,Close,Volatility,Volume,Libor,US 10y Treasury yield,CBOE VIX,WTI Crude Oil Futures,Gold
2022-06-10,16201.8,20.85,189680528,1.74471,3.1555,2167.15576,9423.81,1871.6
2022-06-09,16478.1,20.43,204954400,1.72129,3.0418,2030.80908,9458.17,1847.95
2022-06-08,16356.25,20.66,243481040,1.68771,3.0215,1860.98999,9484.37,1853.36
2022-06-07,16416.35,20.8,233814640,1.69043,2.9736,1865.11462,9272,1852.37
2022-06-06,16569.55,21.19,233589136,1.665,3.0399,1949.99475,9217.17,1841.43
2022-06-03,16584.3,21.49,245514864,#N/A,2.9332,1925.56323,9233.23,1851.19
2022-06-02,16628,21.77,235958288,#N/A,2.9076,1913.62708,9047.15,1868.58
2022-06-01,16522.75,22.2,249619040,1.626,2.9058,1993.03271,8941.88,1846.6
2022-05-31,16584.55,22.46,651613632,1.61071,2.8441,2032.98828,8901.21,1837.35
2022-05-30,16661.4,22.71,251400752,1.58043,#N/A,2057.94067,#N/A,1855.23
2022-05-27,16352.45,22.37,274064960,1.59786,2.7378,1996.68213,8933.06,1853.72
2022-05-26,16170.15,21.97,314305728,1.57486,2.7469,2135.32007,8858.86,1850.63
2022-05-25,16025.8,21.72,243342352,1.55286,2.7452,2200.14185,8556.28,1853.46
2022-05-24,16125.15,21.72,249778304,1.531,2.7506,2283.42041,8511.07,1866.45
2022-05-23,16214.7,21.98,293829856,1.52386,2.8514,2208.17676,8551.26,1853.59
2022-05-20,16266.15,22.07,252402016,1.50643,2.7811,2291.6936,8817.14,1846.5
2022-05-19,15809.4,19.81,313876096,1.50486,2.837,2273.38647,8691.54,1841.85
2022-05-18,16240.3,18.55,290441120,1.478,2.884,2406.50537,8518.38,1816.6
2022-05-17,16259.3,20.01,295687776,1.44757,2.986,2022.57776,8710.26,1815.16
2022-05-16,15842.3,18.49,217646560,1.455,2.8822,2127.82617,8845.93,1824.14
2022-05-13,15782.15,18.37,369135552,1.44371,2.9185,2235.34937,8555.03,1811.79
2022-05-12,15808,18.8,314921664,1.41129,2.8479,2458.06396,8211.34,1821.82
2022-05-11,16167.1,18,284294432,1.42186,2.9207,2516.93677,8171.54,1852.4
2022-05-10,16240.05,18.08,283061184,1.39986,2.9908,2549.72778,7710.24,1838.27
2022-05-09,16301.85,18.08,288402944,1.39857,3.0338,2689.78906,7979.58,1854.17
2022-05-06,16411.25,18.02,300527712,1.40186,3.1265,2323.29565,8447.44,1883.81
2022-05-05,16682.65,17.46,265793408,1.37071,3.0365,2387.64868,8284.83,1877.18
2022-05-04,16677.6,17.87,310632800,1.40614,2.9344,1938.44019,8221.21,1881.22
2022-05-02,17069.1,16.73,278155520,#N/A,2.9807,2474.57593,8047.35,1863.02
2022-04-29,17102.55,17.63,336243648,1.33486,2.9336,2556.65308,8013.65,1896.93
2022-04-28,17245.05,18.24,312914432,1.286,2.8224,2298.91333,8076.48,1894.45
2022-04-27,17038.4,18.36,265140480,1.23886,2.8318,2419.91211,7812.64,1886.1
2022-04-26,17200.8,18.56,261065760,1.23814,2.7205,2570.53149,7799.02,1905.51
2022-04-25,16953.95,18.1,275685920,1.22486,2.8198,2071.92603,7556.17,1897.83
2022-04-22,17171.95,18.1,262739744,1.21371,2.8987,2158.68555,7810.6,1931.6
2022-04-21,17392.6,18.37,285200032,1.184,2.9095,1730.76746,7920.47,1951.62
2022-04-20,17136.55,18.11,286069728,1.13629,2.832,1550.36108,7839.55,1957.77
2022-04-19,16958.65,19.59,401399552,1.09829,2.9361,1632.42224,7834.4,1950.09
